Offer_Id,Entitlement_Name,Entitlement_Parent_Name,Partial_PDP,Needs_Base_Game,Base_Game_Rows,Bundle,Bundle_rows,Game_Library_Image_Name
OFB-EAST:41331,Battlefield 3™ Back to Karkand Expansion Pack,Battlefield 3™ Back to Karkand Expansion Pack,/store/battlefield/battlefield-3/expansion/battlefield-3-back-to-karkand-expansion-pack,TRUE,38,FALSE,,Battlefield 3™ Back to Karkand Expansion Pack
OFB-EAST:109546437,Battlefield 3™: End Game,Battlefield 3™: End Game,/store/battlefield/battlefield-3/expansion/battlefield-3-end-game,TRUE,38,FALSE,,Battlefield 3™: End Game
OFB-EAST:50631,Battlefield 3™: Close Quarters,Battlefield 3™: Close Quarters,/store/battlefield/battlefield-3/expansion/battlefield-3-close-quarters,TRUE,38,FALSE,,Battlefield 3™: Close Quarters
OFB-EAST:50401,Battlefield 3™ Premium,Battlefield 3™ Premium,/store/battlefield/battlefield-3/expansion/battlefield-3-premium,TRUE,38,FALSE,,Battlefield 3™ Premium
OFB-EAST:51080,Battlefield 3™ Armored Kill,Battlefield 3™ Armored Kill,/store/battlefield/battlefield-3/expansion/battlefield-3-armored-kill,TRUE,38,FALSE,,Battlefield 3™ Armored Kill
OFB-EAST:55172,Battlefield 3™ Aftermath,Battlefield 3™ Aftermath,/store/battlefield/battlefield-3/expansion/battlefield-3-aftermath,TRUE,38,FALSE,,Battlefield 3™ Aftermath
OFB-EAST:109541466,Support Kit Shortcut,Support Kit Shortcut,/store/battlefield/battlefield-3/addon/support-kit-shortcut,TRUE,38,FALSE,,Support Kit Shortcut
OFB-EAST:109541467,Co-op Weapons Shortcut,Co-op Weapons Shortcut,/store/battlefield/battlefield-3/addon/co-op-weapons-shortcut,TRUE,38,FALSE,,Co-op Weapons Shortcut
OFB-EAST:109541468,Assault Kit Shortcut,Assault Kit Shortcut,/store/battlefield/battlefield-3/addon/assault-kit-shortcut,TRUE,38,FALSE,,Assault Kit Shortcut
OFB-EAST:109541470,Kit Shortcut Bundle,Kit Shortcut Bundle,/store/battlefield/battlefield-3/addon/kit-shortcut-bundle,TRUE,38,FALSE,,Kit Shortcut Bundle
OFB-EAST:109541471,Ground Vehicle Shortcut,Ground Vehicle Shortcut,/store/battlefield/battlefield-3/addon/ground-vehicle-shortcut,TRUE,38,FALSE,,Ground Vehicle Shortcut
OFB-EAST:109541472,The Ultimate Shortcut Bundle,The Ultimate Shortcut Bundle,/store/battlefield/battlefield-3/addon/the-ultimate-shortcut-bundle,TRUE,38,FALSE,,The Ultimate Shortcut Bundle
OFB-EAST:109541473,Recon Kit Shortcut,Recon Kit Shortcut,/store/battlefield/battlefield-3/addon/recon-kit-shortcut,TRUE,38,FALSE,,Recon Kit Shortcut
OFB-EAST:109541474,Engineer Kit Shortcut,Engineer Kit Shortcut,/store/battlefield/battlefield-3/addon/engineer-kit-shortcut,TRUE,38,FALSE,,Engineer Kit Shortcut
OFB-EAST:109541475,Vehicle Shortcut Bundle,Vehicle Shortcut Bundle,/store/battlefield/battlefield-3/addon/vehicle-shortcut-bundle,TRUE,38,FALSE,,Vehicle Shortcut Bundle
OFB-EAST:55621,Air Vehicle Shortcut,Air Vehicle Shortcut,/store/battlefield/battlefield-3/addon/air-vehicle-shortcut,TRUE,38,FALSE,,Air Vehicle Shortcut
OFB-EAST:60868,Battlefield 3™ SPECACT Kit & Dog Tag Bundle,Battlefield 3™ SPECACT Kit & Dog Tag Bundle,/store/battlefield/battlefield-3/addon/battlefield-3-specact-kit--dog-tag-bundle,TRUE,38,FALSE,,Battlefield 3™ SPECACT Kit & Dog Tag Bundle
OFB-EAST:109546867,Battlefield 4™,Battlefield 4™,/store/battlefield/battlefield-4,FALSE,,FALSE,,Battlefield 4™
OFB-EAST:109549060,Battlefield 4™ Digital Deluxe ,Battlefield 4™,/store/battlefield/battlefield-4,FALSE,,FALSE,,Battlefield 4™ Digital Deluxe
OFB-EAST:109552316,Battlefield 4™ Premium Edition,Battlefield 4™,/store/battlefield/battlefield-4,FALSE,,FALSE,,Battlefield 4™ Premium Edition
OFB-EAST:109550761,Battlefield 4™ Second Assault,Battlefield 4™ Second Assault,/store/battlefield/battlefield-4/expansion/battlefield-4-second-assault,TRUE,58,FALSE,,Battlefield 4™ Second Assault
OFB-EAST:109550762,Battlefield 4™ Premium,Battlefield 4™ Premium,/store/battlefield/battlefield-4/expansion/battlefield-4-premium,TRUE,58,FALSE,,Battlefield 4™ Premium
OFB-EAST:109550763,Battlefield 4™ China Rising,Battlefield 4™ China Rising,/store/battlefield/battlefield-4/expansion/battlefield-4-china-rising,TRUE,58,FALSE,,Battlefield 4™ China Rising
OFB-EAST:109550764,Battlefield 4™ Dragon's Teeth,Battlefield 4™ Dragon's Teeth,/store/battlefield/battlefield-4/expansion/battlefield-4-dragons-teeth,TRUE,58,FALSE,,Battlefield 4™ Dragon's Teeth
OFB-EAST:109550765,Battlefield 4™ Naval Strike,Battlefield 4™ Naval Strike,/store/battlefield/battlefield-4/expansion/battlefield-4-naval-strike,TRUE,58,FALSE,,Battlefield 4™ Naval Strike
OFB-EAST:109550823,Battlefield 4™ Final Stand,Battlefield 4™ Final Stand,/store/battlefield/battlefield-4/expansion/battlefield-4-final-stand,TRUE,58,FALSE,,Battlefield 4™ Final Stand
Origin.OFR.50.0000031,Battlefield 4™ Support Shortcut Kit,Battlefield 4™ Support Shortcut Kit,/store/battlefield/battlefield-4/addon/battlefield-4-support-shortcut-kit,TRUE,58,FALSE,,Battlefield 4™ Support Shortcut Kit
Origin.OFR.50.0000032,Battlefield 4™ Recon Shortcut Kit,Battlefield 4™ Recon Shortcut Kit,/store/battlefield/battlefield-4/addon/battlefield-4-recon-shortcut-kit,TRUE,58,FALSE,,Battlefield 4™ Recon Shortcut Kit
Origin.OFR.50.0000033,Battlefield 4™ Engineer Shortcut Kit,Battlefield 4™ Engineer Shortcut Kit,/store/battlefield/battlefield-4/addon/battlefield-4-engineer-shortcut-kit,TRUE,58,FALSE,,Battlefield 4™ Engineer Shortcut Kit
Origin.OFR.50.0000034,Battlefield 4™ Assault Shortcut Kit,Battlefield 4™ Assault Shortcut Kit,/store/battlefield/battlefield-4/addon/battlefield-4-assault-shortcut-kit,TRUE,58,FALSE,,Battlefield 4™ Assault Shortcut Kit
Origin.OFR.50.0000035,Battlefield 4™ Soldier Shortcut Bundle,Battlefield 4™ Soldier Shortcut Bundle,/store/battlefield/battlefield-4/addon/battlefield-4-soldier-shortcut-bundle,TRUE,58,FALSE,,Battlefield 4™ Soldier Shortcut Bundle
Origin.OFR.50.0000036,Battlefield 4™ Air Vehicle Shortcut Kit,Battlefield 4™ Air Vehicle Shortcut Kit,/store/battlefield/battlefield-4/addon/battlefield-4-air-vehicle-shortcut-kit,TRUE,58,FALSE,,Battlefield 4™ Air Vehicle Shortcut Kit
Origin.OFR.50.0000037,Battlefield 4™ Ground & Sea Vehicle Shortcut Kit,Battlefield 4™ Ground & Sea Vehicle Shortcut Kit,/store/battlefield/battlefield-4/addon/battlefield-4-ground--sea-vehicle-shortcut-kit,TRUE,58,FALSE,,Battlefield 4™ Ground & Sea Vehicle Shortcut Kit
Origin.OFR.50.0000038,Battlefield 4™ Vehicle Shortcut Bundle,Battlefield 4™ Vehicle Shortcut Bundle,/store/battlefield/battlefield-4/addon/battlefield-4-vehicle-shortcut-bundle,TRUE,58,FALSE,,Battlefield 4™ Vehicle Shortcut Bundle
Origin.OFR.50.0000039,Battlefield 4™ Ultimate Shortcut Bundle,Battlefield 4™ Ultimate Shortcut Bundle,/store/battlefield/battlefield-4/addon/battlefield-4-ultimate-shortcut-bundle,TRUE,58,FALSE,,Battlefield 4™ Ultimate Shortcut Bundle
Origin.OFR.50.0000091,Battlefield 4™ Gold Battlepack,Battlefield 4™ Gold Battlepack,/store/battlefield/battlefield-4/addon/battlefield-4-gold-battlepack,TRUE,58,FALSE,,Battlefield 4™ Gold Battlepack
Origin.OFR.50.0000092,Battlefield 4™ Silver Battlepack,Battlefield 4™ Silver Battlepack,/store/battlefield/battlefield-4/addon/battlefield-4-silver-battlepack,TRUE,58,FALSE,,Battlefield 4™ Silver Battlepack
Origin.OFR.50.0000093,Battlefield 4™ Bronze Battlepack,Battlefield 4™ Bronze Battlepack,/store/battlefield/battlefield-4/addon/battlefield-4-bronze-battlepack,TRUE,58,FALSE,,Battlefield 4™ Bronze Battlepack
Origin.OFR.50.0000355,Battlefield 4™ Carbine Shortcut Kit,Battlefield 4™ Carbine Shortcut Kit,/store/battlefield/battlefield-4/addon/battlefield-4-carbine-shortcut-kit,TRUE,58,FALSE,,Battlefield 4™ Carbine Shortcut Kit
Origin.OFR.50.0000359,Battlefield 4™ Handgun Shortcut Kit,Battlefield 4™ Handgun Shortcut Kit,/store/battlefield/battlefield-4/addon/battlefield-4-handgun-shortcut-kit,TRUE,58,FALSE,,Battlefield 4™ Handgun Shortcut Kit
Origin.OFR.50.0000360,Battlefield 4™ Grenade Shortcut Kit,Battlefield 4™ Grenade Shortcut Kit,/store/battlefield/battlefield-4/addon/battlefield-4-grenade-shortcut-kit,TRUE,58,FALSE,,Battlefield 4™ Grenade Shortcut Kit
Origin.OFR.50.0000363,Battlefield 4™ DMR Shortcut Kit,Battlefield 4™ DMR Shortcut Kit,/store/battlefield/battlefield-4/addon/battlefield-4-dmr-shortcut-kit,TRUE,58,FALSE,,Battlefield 4™ DMR Shortcut Kit
Origin.OFR.50.0000364,Battlefield 4™ Shotgun Shortcut Kit,Battlefield 4™ Shotgun Shortcut Kit,/store/battlefield/battlefield-4/addon/battlefield-4-shotgun-shortcut-kit,TRUE,58,FALSE,,Battlefield 4™ Shotgun Shortcut Kit
Origin.OFR.50.0000392,Battlefield 4™ Weapon Shortcut Bundle,Battlefield 4™ Weapon Shortcut Bundle,/store/battlefield/battlefield-4/addon/battlefield-4-weapon-shortcut-bundle,TRUE,58,FALSE,,Battlefield 4™ Weapon Shortcut Bundle
Origin.OFR.50.0000404,Battlefield 4™ 3 X Bronze Battlepacks,Battlefield 4™ 3 X Bronze Battlepacks,/store/battlefield/battlefield-4/addon/battlefield-4-3-x-bronze-battlepacks,TRUE,58,FALSE,,Battlefield 4™ 3 X Bronze Battlepacks
Origin.OFR.50.0000405,Battlefield 4™ 5 X Bronze Battlepacks,Battlefield 4™ 5 X Bronze Battlepacks,/store/battlefield/battlefield-4/addon/battlefield-4-5-x-bronze-battlepacks,TRUE,58,FALSE,,Battlefield 4™ 5 X Bronze Battlepacks
Origin.OFR.50.0000406,Battlefield 4™ 3 X Silver Battlepacks,Battlefield 4™ 3 X Silver Battlepacks,/store/battlefield/battlefield-4/addon/battlefield-4-3-x-silver-battlepacks,TRUE,58,FALSE,,Battlefield 4™ 3 X Silver Battlepacks
Origin.OFR.50.0000407,Battlefield 4™ 5 X Silver Battlepacks,Battlefield 4™ 5 X Silver Battlepacks,/store/battlefield/battlefield-4/addon/battlefield-4-5-x-silver-battlepacks,TRUE,58,FALSE,,Battlefield 4™ 5 X Silver Battlepacks
Origin.OFR.50.0000411,Battlefield 4™ 3 X Gold Battlepacks,Battlefield 4™ 3 X Gold Battlepacks,/store/battlefield/battlefield-4/addon/battlefield-4-3-x-gold-battlepacks,TRUE,58,FALSE,,Battlefield 4™ 3 X Gold Battlepacks
Origin.OFR.50.0000412,Battlefield 4™ 5 X Gold Battlepacks,Battlefield 4™ 5 X Gold Battlepacks,/store/battlefield/battlefield-4/addon/battlefield-4-5-x-gold-battlepacks,TRUE,58,FALSE,,Battlefield 4™ 5 X Gold Battlepacks
Origin.OFR.50.0000909,Battlefield 4™ Community Operations,Battlefield 4™ Community Operations,/store/battlefield/battlefield-4/addon/battlefield-4-community-operations,TRUE,58,FALSE,,Battlefield 4™ Community Operations
Origin.OFR.50.0000910,Battlefield 4™ Night Operations,Battlefield 4™ Night Operations,/store/battlefield/battlefield-4/addon/battlefield-4-night-operations,TRUE,58,FALSE,,Battlefield 4™ Night Operations
Origin.OFR.50.0000911,Battlefield 4™ Legacy Operations,Battlefield 4™ Legacy Operations,/store/battlefield/battlefield-4/addon/battlefield-4-legacy-operations,TRUE,58,FALSE,,Battlefield 4™ Legacy Operations
Origin.OFR.50.0000426,Battlefield™ Hardline Standard Edition,Battlefield™ Hardline,/store/battlefield/battlefield-hardline,FALSE,,FALSE,,Battlefield™ Hardline
Origin.OFR.50.0000519,Battlefield™ Hardline Digital Deluxe,Battlefield™ Hardline,/store/battlefield/battlefield-hardline,FALSE,,FALSE,,Battlefield™ Hardline Digital Deluxe
Origin.OFR.50.0000846,Battlefield™ Hardline Ultimate Edition,Battlefield™ Hardline,/store/battlefield/battlefield-hardline,FALSE,,FALSE,,Battlefield™ Hardline Ultimate Edition
Origin.OFR.50.0000822,Battlefield™ Hardline Premium,Battlefield™ Hardline Premium,/store/battlefield/battlefield-hardline/expansion/battlefield-hardline-premium,TRUE,94,FALSE,,Battlefield™ Hardline Premium
Origin.OFR.50.0000824,Battlefield™ Hardline Criminal Activity,Battlefield™ Hardline Criminal Activity,/store/battlefield/battlefield-hardline/expansion/battlefield-hardline-criminal-activity,TRUE,94,FALSE,,Battlefield™ Hardline Criminal Activity
Origin.OFR.50.0000825,Battlefield™ Hardline Robbery,Battlefield™ Hardline Robbery,/store/battlefield/battlefield-hardline/expansion/battlefield-hardline-robbery,TRUE,94,FALSE,,Battlefield™ Hardline Robbery
Origin.OFR.50.0000826,Battlefield™ Hardline Getaway,Battlefield™ Hardline Getaway,/store/battlefield/battlefield-hardline/expansion/battlefield-hardline-getaway,TRUE,94,FALSE,,Battlefield™ Hardline Getaway
Origin.OFR.50.0000827,Battlefield™ Hardline: Betrayal,Battlefield™ Hardline: Betrayal,/store/battlefield/battlefield-hardline/expansion/battlefield-hardline-betrayal,TRUE,94,FALSE,,Battlefield™ Hardline: Betrayal
Origin.OFR.50.0000705,Battlefield™ Hardline Gold Battlepack,Battlefield™ Hardline Gold Battlepack,/store/battlefield/battlefield-hardline/addon/battlefield-hardline-gold-battlepack,TRUE,94,FALSE,,Battlefield™ Hardline Gold Battlepack
Origin.OFR.50.0000706,Battlefield™ Hardline Silver Battlepack,Battlefield™ Hardline Silver Battlepack,/store/battlefield/battlefield-hardline/addon/battlefield-hardline-silver-battlepack,TRUE,94,FALSE,,Battlefield™ Hardline Silver Battlepack
Origin.OFR.50.0000707,Battlefield™ Hardline Bronze Battlepack,Battlefield™ Hardline Bronze Battlepack,/store/battlefield/battlefield-hardline/addon/battlefield-hardline-bronze-battlepack,TRUE,94,FALSE,,Battlefield™ Hardline Bronze Battlepack
Origin.OFR.50.0000708,Battlefield™ Hardline 5 X Gold Battlepacks,Battlefield™ Hardline 5 X Gold Battlepacks,/store/battlefield/battlefield-hardline/addon/battlefield-hardline-5-x-gold-battlepacks,TRUE,94,FALSE,,Battlefield™ Hardline 5 X Gold Battlepacks
Origin.OFR.50.0000710,Battlefield™ Hardline Professional Shortcut Unlock,Battlefield™ Hardline Professional Shortcut Unlock,/store/battlefield/battlefield-hardline/addon/battlefield-hardline-professional-shortcut-unlock,TRUE,94,FALSE,,Battlefield™ Hardline Professional Shortcut Unlock
Origin.OFR.50.0000721,Battlefield™ Hardline Operator Shortcut Unlock,Battlefield™ Hardline Operator Shortcut Unlock,/store/battlefield/battlefield-hardline/addon/battlefield-hardline-operator-shortcut-unlock,TRUE,94,FALSE,,Battlefield™ Hardline Operator Shortcut Unlock
Origin.OFR.50.0000722,Battlefield™ Hardline Mechanic Shortcut Unlock,Battlefield™ Hardline Mechanic Shortcut Unlock,/store/battlefield/battlefield-hardline/addon/battlefield-hardline-mechanic-shortcut-unlock,TRUE,94,FALSE,,Battlefield™ Hardline Mechanic Shortcut Unlock
Origin.OFR.50.0000723,Battlefield™ Hardline Enforcer Shortcut Unlock,Battlefield™ Hardline Enforcer Shortcut Unlock,/store/battlefield/battlefield-hardline/addon/battlefield-hardline-enforcer-shortcut-unlock,TRUE,94,FALSE,,Battlefield™ Hardline Enforcer Shortcut Unlock
Origin.OFR.50.0000805,Battlefield™ Hardline Player Shortcut Unlock,Battlefield™ Hardline Player Shortcut Unlock,/store/battlefield/battlefield-hardline/addon/battlefield-hardline-player-shortcut-unlock,TRUE,94,FALSE,,Battlefield™ Hardline Player Shortcut Unlock
Origin.OFR.50.0000806,Battlefield™ Hardline Vehicle Shortcut Unlock,Battlefield™ Hardline Vehicle Shortcut Unlock,/store/battlefield/battlefield-hardline/addon/battlefield-hardline-vehicle-shortcut-unlock,TRUE,94,FALSE,,Battlefield™ Hardline Vehicle Shortcut Unlock
Origin.OFR.50.0000807,Battlefield™ Hardline Ultimate Shortcut Unlock,Battlefield™ Hardline Ultimate Shortcut Unlock,/store/battlefield/battlefield-hardline/addon/battlefield-hardline-ultimate-shortcut-unlock,TRUE,94,FALSE,,Battlefield™ Hardline Ultimate Shortcut Unlock
Origin.OFR.50.0000934,Battlefield™ Hardline Gear Shortcut Unlock,Battlefield™ Hardline Gear Shortcut Unlock,/store/battlefield/battlefield-hardline/addon/battlefield-hardline-gear-shortcut-unlock,TRUE,94,FALSE,,Battlefield™ Hardline Gear Shortcut Unlock
Origin.OFR.50.0000557,Battlefield™ 1,Battlefield™ 1,/store/battlefield/battlefield-1,FALSE,,FALSE,,Battlefield™ 1
Origin.OFR.50.0002321,Battlefield™ 1 Revolution,Battlefield™ 1,/store/battlefield/battlefield-1,FALSE,,FALSE,,Battlefield™ 1
Origin.OFR.50.0001581,Battlefield™ 1 Premium Pass,Battlefield™ 1 Premium Pass,/store/battlefield/battlefield-1/addon/battlefield-1-premium-pass,TRUE,114,FALSE,,Battlefield™ 1 Premium Pass
Origin.OFR.50.0001570,Battlefield™ 1 Battlepacks x 5,Battlefield™ 1 Battlepacks x 5,/store/battlefield/battlefield-1/addon/battlefield-1-battlepacks-x-5,TRUE,114,FALSE,,Battlefield™ 1 Battlepacks x 5
Origin.OFR.50.0001573,Battlefield™ 1 Battlepacks x 20,Battlefield™ 1 Battlepacks x 20,/store/battlefield/battlefield-1/addon/battlefield-1-battlepacks-x-20,TRUE,114,FALSE,,Battlefield™ 1 Battlepacks x 20
Origin.OFR.50.0001574,Battlefield™ 1 Battlepacks x 3,Battlefield™ 1 Battlepacks x 3,/store/battlefield/battlefield-1/addon/battlefield-1-battlepacks-x-3,TRUE,114,FALSE,,Battlefield™ 1 Battlepacks x 3
Origin.OFR.50.0001572,Battlefield™ 1 Battlepacks x 10,Battlefield™ 1 Battlepacks x 10,/store/battlefield/battlefield-1/addon/battlefield-1-battlepacks-x-10,TRUE,114,FALSE,,Battlefield™ 1 Battlepacks x 10
Origin.OFR.50.0001571,Battlefield™ 1 Battlepack,Battlefield™ 1 Battlepack,/store/battlefield/battlefield-1/addon/battlefield-1-battlepack,TRUE,114,FALSE,,Battlefield™ 1 Battlepack
Origin.OFR.50.0001671,Battlefield™ 1 Battlepacks x 40,Battlefield™ 1 Battlepacks x 40,/store/battlefield/battlefield-1/addon/battlefield-1-battlepacks-x-40,TRUE,114,FALSE,,Battlefield™ 1 Battlepacks x 40
Origin.OFR.50.0001542,Battlefield™ 1 Shortcut Kit: Scout Bundle,Battlefield™ 1 Shortcut Kit: Scout Bundle,/store/battlefield/battlefield-1/addon/battlefield-1-shortcut-kit-scout-bundle,TRUE,114,FALSE,,Battlefield™ 1 Shortcut Kit: Scout Bundle
Origin.OFR.50.0001545,Battlefield™ 1 Shortcut Kit: Vehicle Bundle,Battlefield™ 1 Shortcut Kit: Vehicle Bundle,/store/battlefield/battlefield-1/addon/battlefield-1-shortcut-kit-vehicle-bundle,TRUE,114,FALSE,,Battlefield™ 1 Shortcut Kit: Vehicle Bundle
Origin.OFR.50.0001546,Battlefield™ 1 Shortcut Kit: Ultimate Bundle,Battlefield™ 1 Shortcut Kit: Ultimate Bundle,/store/battlefield/battlefield-1/addon/battlefield-1-shortcut-kit-ultimate-bundle,TRUE,114,FALSE,,Battlefield™ 1 Shortcut Kit: Ultimate Bundle
